timestamp,symbol,side,qty,price,pnl,reason
2026-04-08T22:01:29.523091,AMD,BUY,409.8007,231.82,0.0,Broke above 20-day high $226.31
2026-04-09T21:58:37.248154,SPY,BUY,6.9862,679.91,0.0,Broke above 20-day high $678.23
