timestamp,symbol,side,qty,price,pnl,reason
2026-04-01T05:51:40.924922,SOL-USD,BUY,1131.22171946,83.98,0.0,RSI(7)=25.1<35
2026-04-01T05:51:40.925008,AVAX-USD,BUY,523.1277533,9.08,0.0,RSI(7)=33.7<35
2026-04-06T01:28:39.222834,AVAX-USD,SELL,523.1277533,9.47,204.02,RSI(7)=77.1>65
2026-04-07T12:59:30.098937,DOGE-USD,BUY,54931.32036221,0.09,0.0,RSI(7)=34.3<35
2026-04-09T16:57:51.353682,SOL-USD,SELL,1131.22171946,83.21,-871.04,RSI(7)=65.4>65
2026-04-09T20:40:41.896028,DOGE-USD,SELL,54931.32036221,0.09,0.0,RSI(7)=65.6>65
2026-04-23T09:19:12.161718,SOL-USD,BUY,1102.15288653,85.62,0.0,RSI(7)=33.2<35
2026-04-23T09:19:12.161812,DOGE-USD,BUY,47183.16507241,0.1,0.0,RSI(7)=32.5<35
2026-04-25T08:42:35.058726,DOGE-USD,SELL,47183.16507241,0.1,0.0,RSI(7)=74.3>65
2026-04-26T08:50:37.220123,SOL-USD,SELL,1102.15288653,86.58,1058.07,RSI(7)=81.8>65
2026-04-28T10:07:36.582649,SOL-USD,BUY,1139.30824964,83.71,0.0,RSI(7)=30.4<35
2026-04-28T10:07:36.582713,AVAX-USD,BUY,520.01904895,9.17,0.0,RSI(7)=28.8<35
